,compound,laptime,max_speed,distance,n_corners,avg_corner_speed,avg_speed,throttle_perc,brake_perc,gear_changes,n_slow_corners,n_medium_corners,n_fast_corners
hockenheimring,SOFT,71.767,320.0,4568.748333333335,17.0,209.9605399590281,229.88813559322034,78.35932203389831,12.88135593220339,40.0,3,9,5
mugello,SOFT,75.144,309.0,5238.044999999995,,,251.05466237942122,84.35691318327974,9.967845659163988,24.0,0,0,0
nurburgring,SOFT,85.269,318.0,5112.3400000000065,15.0,173.56385579153311,216.20170454545453,72.28125,17.329545454545457,50.0,5,7,3
portimao,MEDIUM,77.968,314.0,4637.664722222222,15.0,188.7405326262337,214.13622291021673,73.05882352941177,17.647058823529413,40.0,4,5,6
sochi,SOFT,101.993,291.0,5789.306111111103,18.0,172.0249766777363,204.52009456264776,69.29078014184397,17.494089834515368,64.0,5,8,5
istanbul,SOFT,82.868,321.0,5253.130833333332,14.0,176.85434990794633,228.28695652173914,77.66376811594203,15.072463768115943,39.0,3,8,3
ricard,SOFT,90.872,330.0,5774.107500000001,15.0,179.15311945343305,228.71597633136093,74.05621301775147,15.088757396449704,44.0,3,9,3
bahrain,SOFT,89.165,317.0,5369.465277777778,15.0,175.26709545524398,215.8865671641791,73.58805970149254,16.716417910447763,48.0,3,9,3
jeddah,SOFT,87.472,330.0,6098.36361111111,27.0,238.63047303537826,254.0701754385965,83.7280701754386,11.695906432748536,42.0,2,9,16
albert_park,SOFT,75.915,326.0,5216.471666666666,14.0,208.50019030133473,247.64788732394365,82.66549295774648,12.323943661971832,34.0,2,7,5
suzuka,SOFT,88.197,295.0,5747.901944444441,18.0,210.31483887155653,236.0782608695652,77.3913043478261,13.623188405797102,34.0,3,7,8
shanghai,SOFT,93.66,333.0,5386.698333333331,16.0,162.64765464517467,208.3305785123967,65.36914600550965,19.55922865013774,44.0,6,7,3
miami,SOFT,87.241,337.0,5327.266388888888,19.0,179.84087281547403,220.59756097560975,69.39939024390245,18.29268292682927,38.0,7,7,5
imola,SOFT,74.746,296.0,4865.41083333333,19.0,212.6024892440898,235.5663082437276,75.89964157706093,18.27956989247312,37.0,1,11,7
monaco,SOFT,70.27,280.0,3238.420833333332,19.0,146.62886238761382,164.76208178438662,58.82156133828996,27.137546468401485,46.0,8,9,2
villeneuve,SOFT,71.742,326.0,4306.605277777775,14.0,160.71178276133307,217.3754512635379,72.88086642599278,16.60649819494585,48.0,2,10,2
catalunya,SOFT,71.383,323.0,4633.510833333333,14.0,201.6156302363356,233.65925925925927,76.86666666666666,14.814814814814813,37.0,0,9,5
red_bull_ring,SOFT,64.314,319.0,4284.68472222222,10.0,206.62704699077284,240.79916317991632,76.26359832635983,14.225941422594143,40.0,2,5,3
silverstone,SOFT,85.819,323.0,5820.045833333333,18.0,226.91877681814748,248.04984423676012,79.79439252336448,11.838006230529595,36.0,1,8,9
hungaroring,SOFT,75.227,304.0,4331.6547222222225,14.0,175.9502543856383,210.2112676056338,67.42605633802818,16.901408450704224,44.0,2,12,2
spa,INTERMEDIATE,113.159,307.0,6953.411666666665,19.0,197.47703961464487,221.3,68.47619047619048,14.523809523809526,45.0,4,7,8
zandvoort,SOFT,69.673,329.0,4227.596666666668,14.0,199.03517624177402,220.45525291828793,69.32684824902724,16.342412451361866,36.0,2,6,6
monza,SOFT,79.327,346.0,5733.256666666666,11.0,185.95368956866054,263.48366013071893,80.40849673202614,11.437908496732026,38.0,2,7,2
baku,SOFT,101.365,317.0,5935.378055555557,20.0,162.66207187201434,209.7719298245614,71.66917293233082,20.80200501253133,60.0,9,5,6
marina_bay,SOFT,89.525,304.0,4873.314999999998,19.0,162.94197612464043,198.2478134110787,65.52186588921283,22.157434402332363,64.0,5,11,3
americas,SOFT,92.33,326.0,5411.216944444443,20.0,193.76009806997533,212.2985507246377,71.40579710144928,15.36231884057971,47.0,6,6,8
rodriguez,SOFT,75.946,347.0,4228.194444444444,17.0,142.3325325740106,202.28082191780823,64.11643835616438,22.945205479452056,37.0,8,8,1
interlagos,INTERMEDIATE,83.405,270.0,4222.174166666666,15.0,159.0302349363372,184.5,55.01234567901235,19.444444444444446,36.0,6,7,2
vegas,SOFT,92.312,343.0,6139.951666666665,17.0,190.4656842631346,239.95467422096317,76.94334277620396,14.44759206798867,46.0,6,5,6
losail,SOFT,80.52,322.0,5374.931666666667,16.0,223.04918379405615,240.60927152317882,79.17549668874172,12.91390728476821,30.0,1,8,7
yas_marina,SOFT,82.595,323.0,5211.091666666668,16.0,193.37959811067037,228.103125,75.290625,12.5,45.0,4,5,7
