,laptime,max_speed,distance,n_corners,avg_corner_speed,avg_speed,straight_length,gear_changes,n_slow_corners,n_medium_corners,n_fast_corners,n_gear1_corners,n_gear2_corners,n_gear3_corners,n_gear4_corners,n_gear5_corners,n_gear6_corners,n_gear7_corners,n_gear8_corners
hockenheimring,71.767,320.0,4568.748333333335,17,209.9605399590281,229.8881355932203,1663.9194410880525,40.0,3,9,5,0,1,3,1,3,5,3,1
nurburgring,85.269,318.0,5112.3400000000065,15,173.56385579153311,216.20170454545453,2043.7909175731215,50.0,5,7,3,0,0,4,3,3,1,2,1
portimao,77.968,314.0,4637.664722222222,15,188.7405326262337,214.13622291021673,1800.7936911386205,40.0,4,5,6,0,0,4,2,1,4,4,0
sochi,101.993,291.0,5789.306111111103,18,172.0249766777363,204.52009456264776,1284.9981042381614,64.0,5,8,5,0,3,7,2,1,1,3,1
istanbul,82.868,321.0,5253.130833333332,14,176.85434990794633,228.2869565217391,3877.396257795908,39.0,3,8,3,0,3,1,4,1,0,2,1
ricard,90.872,330.0,5774.107500000001,15,179.15311945343305,228.7159763313609,3942.118894858206,44.0,3,9,3,0,1,3,3,3,2,0,1
bahrain,89.165,317.0,5369.465277777778,15,175.26709545524398,215.8865671641791,3272.967593651228,48.0,3,9,3,0,1,3,4,2,4,1,0
jeddah,87.472,330.0,6098.36361111111,27,238.63047303537823,254.0701754385965,1588.1234429362005,42.0,2,9,16,0,0,2,1,3,8,4,5
albert_park,75.915,326.0,5216.471666666666,14,208.50019030133473,247.64788732394365,3233.337712259045,34.0,2,7,5,0,0,2,1,2,4,3,0
suzuka,88.197,295.0,5747.901944444441,18,210.31483887155653,236.0782608695652,2539.547593972878,34.0,3,7,8,0,0,3,1,4,6,2,2
shanghai,93.66,333.0,5386.698333333331,16,162.64765464517467,208.3305785123967,2187.2266692534213,44.0,6,7,3,0,0,6,4,2,0,2,0
miami,87.241,337.0,5327.266388888888,19,179.84087281547403,220.59756097560975,3579.24538040623,38.0,7,7,5,0,0,7,3,1,2,1,2
imola,74.746,296.0,4865.41083333333,19,212.6024892440898,235.5663082437276,1167.3079620421777,37.0,1,11,7,0,0,2,5,2,3,5,1
monaco,70.27,280.0,3238.420833333332,19,146.62886238761382,164.76208178438662,0.0,46.0,8,9,2,1,6,1,4,1,2,1,0
villeneuve,71.742,326.0,4306.605277777775,14,160.71178276133307,217.3754512635379,2650.1380674853963,48.0,2,10,2,0,1,2,7,0,0,1,0
catalunya,71.383,323.0,4633.510833333333,14,201.6156302363356,233.65925925925927,2300.836446918035,37.0,0,9,5,0,0,1,5,2,2,2,0
red_bull_ring,64.314,319.0,4284.68472222222,10,206.62704699077284,240.79916317991632,2766.157674063021,40.0,2,5,3,0,1,1,1,2,1,2,1
silverstone,85.819,323.0,5820.045833333333,18,226.91877681814748,248.04984423676012,3261.391903394946,36.0,1,8,9,0,0,2,0,0,3,1,5
hungaroring,75.227,304.0,4331.6547222222225,14,175.9502543856383,210.2112676056338,892.6516550161554,44.0,2,12,2,0,0,5,5,1,4,0,0
zandvoort,69.673,329.0,4227.596666666668,14,199.035176241774,220.45525291828793,1392.797280332352,36.0,2,6,6,0,0,5,0,1,2,4,0
monza,79.327,346.0,5733.256666666666,11,185.95368956866056,263.48366013071893,4762.366422325327,38.0,2,7,2,0,2,2,0,4,0,0,1
baku,101.365,317.0,5935.378055555557,20,162.66207187201434,209.7719298245614,2142.093367510009,60.0,9,5,6,0,1,11,2,0,1,2,3
marina_bay,89.525,304.0,4873.314999999998,19,162.94197612464043,198.2478134110787,1070.0080616570426,64.0,5,11,3,0,1,8,2,0,3,0,1
americas,92.33,326.0,5411.216944444443,20,193.76009806997533,212.2985507246377,1959.2997462876656,47.0,6,6,8,0,0,7,2,1,3,5,0
rodriguez,75.946,347.0,4228.194444444444,17,142.3325325740106,202.28082191780825,2598.294129757412,37.0,8,8,1,0,3,7,2,4,1,0,0
vegas,92.312,343.0,6139.951666666665,17,190.4656842631346,239.95467422096317,3539.540312202799,46.0,6,5,6,0,0,7,2,1,1,2,4
losail,80.52,322.0,5374.931666666667,16,223.04918379405615,240.6092715231788,1244.378084885483,30.0,1,8,7,0,0,1,3,2,4,5,0
yas_marina,82.595,323.0,5211.091666666668,16,193.37959811067037,228.103125,2550.474731511432,45.0,4,5,7,0,1,4,3,1,2,4,0
spa,106.168,307.0,6933.692222222217,19,210.1558170726705,235.49257425742573,4108.277214474616,47.0,4,7,8,0,3,1,3,4,1,2,5
interlagos,70.021,328.0,4234.409722222223,15,193.91073621454095,218.68029739776952,1329.3733318144004,36.0,3,8,4,0,0,5,1,0,4,1,1
