,max_speed,distance,avg_corner_speed,avg_speed,short_gear_corners_prop,long_gear_corners_prop,slow_corners_prop,medium_corners_prop,fast_corners_prop,straight_prop,gear_changes_per_km,n_corners_per_km
hockenheimring,320.0,4568.748333333335,209.9605399590281,229.8881355932203,0.29411764705882354,0.7058823529411765,0.17647058823529413,0.5294117647058824,0.29411764705882354,0.3641959065567671,8.755133152807348,3.7209315899431235
nurburgring,318.0,5112.3400000000065,173.56385579153311,216.20170454545453,0.4666666666666667,0.4666666666666667,0.3333333333333333,0.4666666666666667,0.2,0.39977601598741846,9.780257181642837,2.9340771544928512
portimao,314.0,4637.664722222222,188.7405326262337,214.13622291021673,0.4,0.6,0.26666666666666666,0.3333333333333333,0.4,0.3882975158833253,8.625030569444284,3.2343864635416066
sochi,291.0,5789.306111111103,172.0249766777363,204.52009456264776,0.6666666666666666,0.3333333333333333,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.22196064253226028,11.054865431483792,3.109180902604817
istanbul,321.0,5253.130833333332,176.85434990794633,228.2869565217391,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.5714285714285714,0.21428571428571427,0.7381114959467966,7.42414404616168,2.665077349904193
ricard,330.0,5774.107500000001,179.15311945343305,228.7159763313609,0.4666666666666667,0.4,0.2,0.6,0.2,0.6827235022656238,7.620225290228835,2.5978040762143757
bahrain,317.0,5369.465277777778,175.26709545524398,215.8865671641791,0.5333333333333333,0.4666666666666667,0.2,0.6,0.2,0.6095518686370549,8.939437637981229,2.7935742618691335
jeddah,330.0,6098.36361111111,238.63047303537823,254.0701754385965,0.1111111111111111,0.7407407407407407,0.07407407407407407,0.3333333333333333,0.5925925925925926,0.260417965246065,6.887093436586291,4.4274172092340445
albert_park,326.0,5216.471666666666,208.50019030133473,247.64788732394365,0.21428571428571427,0.6428571428571429,0.14285714285714285,0.5,0.35714285714285715,0.6198323155707185,6.517815522177666,2.6838063914849215
suzuka,295.0,5747.901944444441,210.31483887155653,236.0782608695652,0.2222222222222222,0.7777777777777778,0.16666666666666666,0.3888888888888889,0.4444444444444444,0.44182166267248946,5.915201812526091,3.131577430160872
