,season,round,circuitId,weather,yellows,reds,sc,vsc
0,2021,1,bahrain,dry,4,0,1,1
1,2021,2,imola,mixed,9,1,2,0
2,2021,3,portimao,dry,0,0,1,0
3,2021,4,catalunya,dry,1,0,1,0
4,2021,5,monaco,dry,0,0,0,0
5,2021,6,baku,dry,13,1,2,0
6,2021,7,ricard,dry,0,0,0,0
7,2021,8,red_bull_ring,dry,1,0,0,0
8,2021,9,red_bull_ring,dry,1,0,1,0
9,2021,10,silverstone,dry,5,1,1,0
10,2021,11,hungaroring,dry,3,1,1,0
11,2021,12,spa,mixed,1,2,0,0
12,2021,13,zandvoort,dry,1,0,0,0
13,2021,14,monza,dry,6,0,1,2
14,2021,15,sochi,dry,8,0,0,0
15,2021,16,istanbul,wet,8,0,0,0
16,2021,17,americas,dry,2,0,0,1
17,2021,18,rodriguez,dry,2,0,1,0
18,2021,19,interlagos,dry,0,0,1,2
19,2021,20,losail,dry,12,0,0,1
20,2021,21,jeddah,dry,5,2,1,4
21,2021,22,yas_marina,dry,2,0,1,1
