DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
rosberg,mercedes,1.0,3.0,0.0,Finished,25.0,2014,1,albert_park
kevin_magnussen,mclaren,2.0,4.0,26.777,Finished,18.0,2014,1,albert_park
button,mclaren,3.0,10.0,30.027,Finished,15.0,2014,1,albert_park
alonso,ferrari,4.0,5.0,35.284,Finished,12.0,2014,1,albert_park
bottas,williams,5.0,15.0,47.639,Finished,10.0,2014,1,albert_park
hulkenberg,force_india,6.0,7.0,50.718,Finished,8.0,2014,1,albert_park
raikkonen,ferrari,7.0,11.0,57.675,Finished,6.0,2014,1,albert_park
vergne,toro_rosso,8.0,6.0,60.441,Finished,4.0,2014,1,albert_park
kvyat,toro_rosso,9.0,8.0,63.585,Finished,2.0,2014,1,albert_park
perez,force_india,10.0,16.0,85.916,Finished,1.0,2014,1,albert_park
sutil,sauber,11.0,13.0,185.916,+1 Lap,0.0,2014,1,albert_park
gutierrez,sauber,12.0,20.0,185.916,+1 Lap,0.0,2014,1,albert_park
chilton,marussia,13.0,17.0,185.916,+2 Laps,0.0,2014,1,albert_park
jules_bianchi,marussia,14.0,18.0,185.916,+8 Laps,0.0,2014,1,albert_park
grosjean,lotus_f1,15.0,22.0,185.916,ERS,0.0,2014,1,albert_park
maldonado,lotus_f1,16.0,21.0,185.916,ERS,0.0,2014,1,albert_park
ericsson,caterham,17.0,19.0,185.916,Oil pressure,0.0,2014,1,albert_park
vettel,red_bull,18.0,12.0,185.916,Engine,0.0,2014,1,albert_park
hamilton,mercedes,19.0,1.0,185.916,Engine,0.0,2014,1,albert_park
massa,williams,20.0,9.0,185.916,Collision,0.0,2014,1,albert_park
kobayashi,caterham,21.0,14.0,185.916,Collision,0.0,2014,1,albert_park
ricciardo,red_bull,22.0,2.0,185.916,Disqualified,0.0,2014,1,albert_park
hamilton,mercedes,1.0,1.0,0.0,Finished,25.0,2014,2,sepang
rosberg,mercedes,2.0,3.0,17.313,Finished,18.0,2014,2,sepang
vettel,red_bull,3.0,2.0,24.534,Finished,15.0,2014,2,sepang
alonso,ferrari,4.0,4.0,35.992,Finished,12.0,2014,2,sepang
hulkenberg,force_india,5.0,7.0,47.199,Finished,10.0,2014,2,sepang
button,mclaren,6.0,10.0,83.691,Finished,8.0,2014,2,sepang
massa,williams,7.0,13.0,85.076,Finished,6.0,2014,2,sepang
bottas,williams,8.0,18.0,85.537,Finished,4.0,2014,2,sepang
kevin_magnussen,mclaren,9.0,8.0,185.537,+1 Lap,2.0,2014,2,sepang
kvyat,toro_rosso,10.0,11.0,185.537,+1 Lap,1.0,2014,2,sepang
grosjean,lotus_f1,11.0,15.0,185.537,+1 Lap,0.0,2014,2,sepang
raikkonen,ferrari,12.0,6.0,185.537,+1 Lap,0.0,2014,2,sepang
kobayashi,caterham,13.0,20.0,185.537,+1 Lap,0.0,2014,2,sepang
ericsson,caterham,14.0,22.0,185.537,+2 Laps,0.0,2014,2,sepang
chilton,marussia,15.0,21.0,185.537,+2 Laps,0.0,2014,2,sepang
ricciardo,red_bull,16.0,5.0,185.537,Technical,0.0,2014,2,sepang
gutierrez,sauber,17.0,12.0,185.537,Gearbox,0.0,2014,2,sepang
sutil,sauber,18.0,17.0,185.537,Electrical,0.0,2014,2,sepang
vergne,toro_rosso,19.0,9.0,185.537,Power Unit,0.0,2014,2,sepang
jules_bianchi,marussia,20.0,19.0,185.537,Brakes,0.0,2014,2,sepang
maldonado,lotus_f1,21.0,16.0,185.537,Engine,0.0,2014,2,sepang
perez,force_india,22.0,14.0,185.537,Withdrew,0.0,2014,2,sepang
hamilton,mercedes,1.0,2.0,0.0,Finished,25.0,2014,3,bahrain
rosberg,mercedes,2.0,1.0,1.085,Finished,18.0,2014,3,bahrain
perez,force_india,3.0,4.0,24.067,Finished,15.0,2014,3,bahrain
ricciardo,red_bull,4.0,13.0,24.489,Finished,12.0,2014,3,bahrain
hulkenberg,force_india,5.0,11.0,28.654,Finished,10.0,2014,3,bahrain
vettel,red_bull,6.0,10.0,29.879,Finished,8.0,2014,3,bahrain
massa,williams,7.0,7.0,31.265,Finished,6.0,2014,3,bahrain
bottas,williams,8.0,3.0,31.876,Finished,4.0,2014,3,bahrain
alonso,ferrari,9.0,9.0,32.595,Finished,2.0,2014,3,bahrain
raikkonen,ferrari,10.0,5.0,33.462,Finished,1.0,2014,3,bahrain
kvyat,toro_rosso,11.0,12.0,41.342,Finished,0.0,2014,3,bahrain
