DriverNumber,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
7,raikkonen,lotus_f1,1.0,7.0,0.0,Finished,25.0,2013,1,albert_park
3,alonso,ferrari,2.0,5.0,12.451,Finished,18.0,2013,1,albert_park
1,vettel,red_bull,3.0,1.0,22.346,Finished,15.0,2013,1,albert_park
4,massa,ferrari,4.0,4.0,33.577,Finished,12.0,2013,1,albert_park
10,hamilton,mercedes,5.0,3.0,45.561,Finished,10.0,2013,1,albert_park
2,webber,red_bull,6.0,2.0,46.8,Finished,8.0,2013,1,albert_park
15,sutil,force_india,7.0,12.0,65.068,Finished,6.0,2013,1,albert_park
14,resta,force_india,8.0,9.0,68.449,Finished,4.0,2013,1,albert_park
5,button,mclaren,9.0,10.0,81.63,Finished,2.0,2013,1,albert_park
8,grosjean,lotus_f1,10.0,8.0,82.759,Finished,1.0,2013,1,albert_park
6,perez,mclaren,11.0,15.0,83.367,Finished,0.0,2013,1,albert_park
18,vergne,toro_rosso,12.0,13.0,83.857,Finished,0.0,2013,1,albert_park
12,gutierrez,sauber,13.0,18.0,183.857,+1 Lap,0.0,2013,1,albert_park
17,bottas,williams,14.0,16.0,183.857,+1 Lap,0.0,2013,1,albert_park
22,jules_bianchi,marussia,15.0,19.0,183.857,+1 Lap,0.0,2013,1,albert_park
20,pic,caterham,16.0,22.0,183.857,+2 Laps,0.0,2013,1,albert_park
23,chilton,marussia,17.0,20.0,183.857,+2 Laps,0.0,2013,1,albert_park
21,garde,caterham,18.0,21.0,183.857,+2 Laps,0.0,2013,1,albert_park
19,ricciardo,toro_rosso,19.0,14.0,183.857,Hydraulics,0.0,2013,1,albert_park
9,rosberg,mercedes,20.0,6.0,183.857,Electrical,0.0,2013,1,albert_park
16,maldonado,williams,21.0,17.0,183.857,Spun off,0.0,2013,1,albert_park
11,hulkenberg,sauber,22.0,11.0,183.857,Fuel system,0.0,2013,1,albert_park
1,vettel,red_bull,1.0,1.0,0.0,Finished,25.0,2013,2,sepang
2,webber,red_bull,2.0,5.0,4.298,Finished,18.0,2013,2,sepang
10,hamilton,mercedes,3.0,4.0,12.181,Finished,15.0,2013,2,sepang
9,rosberg,mercedes,4.0,6.0,12.64,Finished,12.0,2013,2,sepang
4,massa,ferrari,5.0,2.0,25.648,Finished,10.0,2013,2,sepang
8,grosjean,lotus_f1,6.0,11.0,35.564,Finished,8.0,2013,2,sepang
7,raikkonen,lotus_f1,7.0,10.0,48.479,Finished,6.0,2013,2,sepang
11,hulkenberg,sauber,8.0,12.0,53.044,Finished,4.0,2013,2,sepang
6,perez,mclaren,9.0,9.0,72.357,Finished,2.0,2013,2,sepang
18,vergne,toro_rosso,10.0,17.0,87.124,Finished,1.0,2013,2,sepang
17,bottas,williams,11.0,18.0,88.61,Finished,0.0,2013,2,sepang
12,gutierrez,sauber,12.0,14.0,188.61,+1 Lap,0.0,2013,2,sepang
22,jules_bianchi,marussia,13.0,19.0,188.61,+1 Lap,0.0,2013,2,sepang
20,pic,caterham,14.0,20.0,188.61,+1 Lap,0.0,2013,2,sepang
21,garde,caterham,15.0,22.0,188.61,+1 Lap,0.0,2013,2,sepang
23,chilton,marussia,16.0,21.0,188.61,+2 Laps,0.0,2013,2,sepang
5,button,mclaren,17.0,7.0,188.61,Withdrew,0.0,2013,2,sepang
19,ricciardo,toro_rosso,18.0,13.0,188.61,Retired,0.0,2013,2,sepang
16,maldonado,williams,19.0,16.0,188.61,Retired,0.0,2013,2,sepang
15,sutil,force_india,20.0,8.0,188.61,Wheel nut,0.0,2013,2,sepang
14,resta,force_india,21.0,15.0,188.61,Wheel nut,0.0,2013,2,sepang
3,alonso,ferrari,22.0,3.0,188.61,Collision,0.0,2013,2,sepang
3,alonso,ferrari,1.0,3.0,0.0,Finished,25.0,2013,3,shanghai
7,raikkonen,lotus_f1,2.0,2.0,10.168,Finished,18.0,2013,3,shanghai
10,hamilton,mercedes,3.0,1.0,12.322,Finished,15.0,2013,3,shanghai
1,vettel,red_bull,4.0,9.0,12.525,Finished,12.0,2013,3,shanghai
5,button,mclaren,5.0,8.0,35.285,Finished,10.0,2013,3,shanghai
4,massa,ferrari,6.0,5.0,40.827,Finished,8.0,2013,3,shanghai
19,ricciardo,toro_rosso,7.0,7.0,42.691,Finished,6.0,2013,3,shanghai
14,resta,force_india,8.0,11.0,51.084,Finished,4.0,2013,3,shanghai
8,grosjean,lotus_f1,9.0,6.0,53.423,Finished,2.0,2013,3,shanghai
11,hulkenberg,sauber,10.0,10.0,56.598,Finished,1.0,2013,3,shanghai
6,perez,mclaren,11.0,12.0,63.86,Finished,0.0,2013,3,shanghai
18,vergne,toro_rosso,12.0,15.0,72.604,Finished,0.0,2013,3,shanghai
17,bottas,williams,13.0,16.0,93.861,Finished,0.0,2013,3,shanghai
16,maldonado,williams,14.0,14.0,95.453,Finished,0.0,2013,3,shanghai
22,jules_bianchi,marussia,15.0,18.0,195.453,+1 Lap,0.0,2013,3,shanghai
20,pic,caterham,16.0,20.0,195.453,+1 Lap,0.0,2013,3,shanghai
23,chilton,marussia,17.0,19.0,195.453,+1 Lap,0.0,2013,3,shanghai
21,garde,caterham,18.0,21.0,195.453,+1 Lap,0.0,2013,3,shanghai
9,rosberg,mercedes,19.0,4.0,195.453,Suspension,0.0,2013,3,shanghai
2,webber,red_bull,20.0,22.0,195.453,Wheel,0.0,2013,3,shanghai
15,sutil,force_india,21.0,13.0,195.453,Collision,0.0,2013,3,shanghai
12,gutierrez,sauber,22.0,17.0,195.453,Collision,0.0,2013,3,shanghai
1,vettel,red_bull,1.0,2.0,0.0,Finished,25.0,2013,4,bahrain
7,raikkonen,lotus_f1,2.0,8.0,9.111,Finished,18.0,2013,4,bahrain
8,grosjean,lotus_f1,3.0,11.0,19.507,Finished,15.0,2013,4,bahrain
14,resta,force_india,4.0,5.0,21.727,Finished,12.0,2013,4,bahrain
10,hamilton,mercedes,5.0,9.0,35.23,Finished,10.0,2013,4,bahrain
6,perez,mclaren,6.0,12.0,35.998,Finished,8.0,2013,4,bahrain
2,webber,red_bull,7.0,7.0,37.244,Finished,6.0,2013,4,bahrain
3,alonso,ferrari,8.0,3.0,37.574,Finished,4.0,2013,4,bahrain
9,rosberg,mercedes,9.0,1.0,41.126,Finished,2.0,2013,4,bahrain
5,button,mclaren,10.0,10.0,46.631,Finished,1.0,2013,4,bahrain
16,maldonado,williams,11.0,17.0,66.45,Finished,0.0,2013,4,bahrain
11,hulkenberg,sauber,12.0,14.0,72.933,Finished,0.0,2013,4,bahrain
15,sutil,force_india,13.0,6.0,76.719,Finished,0.0,2013,4,bahrain
17,bottas,williams,14.0,15.0,81.511,Finished,0.0,2013,4,bahrain
4,massa,ferrari,15.0,4.0,86.364,Finished,0.0,2013,4,bahrain
