,DriverId,TeamId,Position,GridPosition,Time,Status,Points,season,round,circuitId
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,25.0,2023,1,bahrain
11,perez,red_bull,2.0,2.0,11.987,Finished,18.0,2023,1,bahrain
14,alonso,aston_martin,3.0,5.0,38.637,Finished,15.0,2023,1,bahrain
55,sainz,ferrari,4.0,4.0,48.052,Finished,12.0,2023,1,bahrain
44,hamilton,mercedes,5.0,7.0,50.977,Finished,10.0,2023,1,bahrain
18,stroll,aston_martin,6.0,8.0,54.502,Finished,8.0,2023,1,bahrain
63,russell,mercedes,7.0,6.0,55.873,Finished,6.0,2023,1,bahrain
77,bottas,alfa,8.0,12.0,72.647,Finished,4.0,2023,1,bahrain
10,gasly,alpine,9.0,20.0,73.753,Finished,2.0,2023,1,bahrain
23,albon,williams,10.0,15.0,89.774,Finished,1.0,2023,1,bahrain
22,tsunoda,alphatauri,11.0,14.0,90.87,Finished,0.0,2023,1,bahrain
2,sargeant,williams,12.0,16.0,190.87,+1 Lap,0.0,2023,1,bahrain
20,kevin_magnussen,haas,13.0,17.0,190.87,+1 Lap,0.0,2023,1,bahrain
21,de_vries,alphatauri,14.0,19.0,190.87,+1 Lap,0.0,2023,1,bahrain
27,hulkenberg,haas,15.0,10.0,190.87,+1 Lap,0.0,2023,1,bahrain
24,zhou,alfa,16.0,13.0,190.87,+1 Lap,0.0,2023,1,bahrain
4,norris,mclaren,17.0,11.0,190.87,+2 Laps,0.0,2023,1,bahrain
31,ocon,alpine,18.0,9.0,190.87,Mechanical,0.0,2023,1,bahrain
16,leclerc,ferrari,19.0,3.0,190.87,Engine,0.0,2023,1,bahrain
81,piastri,mclaren,20.0,18.0,190.87,Electrical,0.0,2023,1,bahrain
11,perez,red_bull,1.0,1.0,0.0,Finished,25.0,2023,2,jeddah
1,max_verstappen,red_bull,2.0,15.0,5.355,Finished,19.0,2023,2,jeddah
14,alonso,aston_martin,3.0,2.0,20.728,Finished,15.0,2023,2,jeddah
63,russell,mercedes,4.0,3.0,25.866,Finished,12.0,2023,2,jeddah
44,hamilton,mercedes,5.0,7.0,31.065,Finished,10.0,2023,2,jeddah
55,sainz,ferrari,6.0,4.0,35.876,Finished,8.0,2023,2,jeddah
16,leclerc,ferrari,7.0,12.0,43.162,Finished,6.0,2023,2,jeddah
31,ocon,alpine,8.0,6.0,52.832,Finished,4.0,2023,2,jeddah
10,gasly,alpine,9.0,9.0,54.747,Finished,2.0,2023,2,jeddah
20,kevin_magnussen,haas,10.0,13.0,64.826,Finished,1.0,2023,2,jeddah
22,tsunoda,alphatauri,11.0,16.0,67.494,Finished,0.0,2023,2,jeddah
27,hulkenberg,haas,12.0,10.0,70.588,Finished,0.0,2023,2,jeddah
24,zhou,alfa,13.0,11.0,76.06,Finished,0.0,2023,2,jeddah
21,de_vries,alphatauri,14.0,18.0,77.478,Finished,0.0,2023,2,jeddah
81,piastri,mclaren,15.0,8.0,85.021,Finished,0.0,2023,2,jeddah
2,sargeant,williams,16.0,20.0,86.293,Finished,0.0,2023,2,jeddah
4,norris,mclaren,17.0,19.0,86.445,Finished,0.0,2023,2,jeddah
77,bottas,alfa,18.0,14.0,186.445,+1 Lap,0.0,2023,2,jeddah
23,albon,williams,19.0,17.0,186.445,Brakes,0.0,2023,2,jeddah
18,stroll,aston_martin,20.0,5.0,186.445,Engine,0.0,2023,2,jeddah
1,max_verstappen,red_bull,1.0,1.0,0.0,Finished,25.0,2023,3,albert_park
44,hamilton,mercedes,2.0,3.0,0.179,Finished,18.0,2023,3,albert_park
14,alonso,aston_martin,3.0,4.0,0.769,Finished,15.0,2023,3,albert_park
18,stroll,aston_martin,4.0,6.0,3.082,Finished,12.0,2023,3,albert_park
11,perez,red_bull,5.0,0.0,3.32,Finished,11.0,2023,3,albert_park
4,norris,mclaren,6.0,13.0,3.701,Finished,8.0,2023,3,albert_park
27,hulkenberg,haas,7.0,10.0,4.939,Finished,6.0,2023,3,albert_park
81,piastri,mclaren,8.0,16.0,5.382,Finished,4.0,2023,3,albert_park
24,zhou,alfa,9.0,17.0,5.713,Finished,2.0,2023,3,albert_park
22,tsunoda,alphatauri,10.0,12.0,6.052,Finished,1.0,2023,3,albert_park
77,bottas,alfa,11.0,0.0,6.513,Finished,0.0,2023,3,albert_park
55,sainz,ferrari,12.0,5.0,6.594,Finished,0.0,2023,3,albert_park
10,gasly,alpine,13.0,9.0,106.594,Collision,0.0,2023,3,albert_park
31,ocon,alpine,14.0,11.0,106.594,Collision,0.0,2023,3,albert_park
21,de_vries,alphatauri,15.0,15.0,106.594,Collision,0.0,2023,3,albert_park
2,sargeant,williams,16.0,18.0,106.594,Collision,0.0,2023,3,albert_park
20,kevin_magnussen,haas,17.0,14.0,106.594,Accident,0.0,2023,3,albert_park
63,russell,mercedes,18.0,2.0,106.594,Engine,0.0,2023,3,albert_park
23,albon,williams,19.0,8.0,106.594,Accident,0.0,2023,3,albert_park
16,leclerc,ferrari,20.0,7.0,106.594,Collision,0.0,2023,3,albert_park
11,perez,red_bull,1.0,3.0,0.0,Finished,25.0,2023,4,baku
