,constructorName,driverCode,points,grid,position,grid_sprint,position_sprint,delta_sprint,round,race,delta
0,Renault,ALO,10.0,4,1,,,,1,Bahrain,3
1,Ferrari,MSC,8.0,1,2,,,,1,Bahrain,-1
2,McLaren,RAI,6.0,22,3,,,,1,Bahrain,19
3,Honda,BUT,5.0,3,4,,,,1,Bahrain,-1
4,McLaren,MON,4.0,5,5,,,,1,Bahrain,0
5,Williams,WEB,3.0,7,6,,,,1,Bahrain,1
6,Williams,ROS,2.0,12,7,,,,1,Bahrain,5
7,Red Bull,KLI,1.0,8,8,,,,1,Bahrain,0
8,Ferrari,MAS,0.0,2,9,,,,1,Bahrain,-7
9,Red Bull,COU,0.0,13,10,,,,1,Bahrain,3
10,Toro Rosso,LIU,0.0,15,11,,,,1,Bahrain,4
11,BMW Sauber,HEI,0.0,10,12,,,,1,Bahrain,-2
12,Toro Rosso,SPE,0.0,16,13,,,,1,Bahrain,3
13,Toyota,SCH,0.0,17,14,,,,1,Bahrain,3
14,Honda,BAR,0.0,6,15,,,,1,Bahrain,-9
15,Toyota,TRU,0.0,14,16,,,,1,Bahrain,-2
16,MF1,TMO,0.0,19,17,,,,1,Bahrain,2
17,Super Aguri,SAT,0.0,20,18,,,,1,Bahrain,2
18,Super Aguri,IDE,0.0,21,19,,,,1,Bahrain,2
19,BMW Sauber,VIL,0.0,11,20,,,,1,Bahrain,-9
20,Renault,FIS,0.0,9,21,,,,1,Bahrain,-12
21,MF1,ALB,0.0,18,22,,,,1,Bahrain,-4
0,Renault,FIS,10.0,1,1,,,,2,Malaysian,0
1,Renault,ALO,8.0,7,2,,,,2,Malaysian,5
2,Honda,BUT,6.0,2,3,,,,2,Malaysian,-1
3,McLaren,MON,5.0,5,4,,,,2,Malaysian,1
4,Ferrari,MAS,4.0,21,5,,,,2,Malaysian,16
5,Ferrari,MSC,3.0,14,6,,,,2,Malaysian,8
6,BMW Sauber,VIL,2.0,10,7,,,,2,Malaysian,3
7,Toyota,SCH,1.0,22,8,,,,2,Malaysian,14
8,Toyota,TRU,0.0,9,9,,,,2,Malaysian,0
9,Honda,BAR,0.0,20,10,,,,2,Malaysian,10
10,Toro Rosso,LIU,0.0,13,11,,,,2,Malaysian,2
11,MF1,ALB,0.0,15,12,,,,2,Malaysian,3
12,MF1,TMO,0.0,16,13,,,,2,Malaysian,3
13,Super Aguri,SAT,0.0,17,14,,,,2,Malaysian,3
14,BMW Sauber,HEI,0.0,11,15,,,,2,Malaysian,-4
15,Toro Rosso,SPE,0.0,12,16,,,,2,Malaysian,-4
16,Super Aguri,IDE,0.0,18,17,,,,2,Malaysian,1
17,Red Bull,KLI,0.0,8,18,,,,2,Malaysian,-10
18,Williams,WEB,0.0,4,19,,,,2,Malaysian,-15
19,Red Bull,COU,0.0,19,20,,,,2,Malaysian,-1
20,Williams,ROS,0.0,3,21,,,,2,Malaysian,-18
21,McLaren,RAI,0.0,6,22,,,,2,Malaysian,-16
0,Renault,ALO,10.0,3,1,,,,3,Australian,2
1,McLaren,RAI,8.0,4,2,,,,3,Australian,2
2,Toyota,SCH,6.0,6,3,,,,3,Australian,3
3,BMW Sauber,HEI,5.0,8,4,,,,3,Australian,4
4,Renault,FIS,4.0,2,5,,,,3,Australian,-3
5,BMW Sauber,VIL,3.0,19,6,,,,3,Australian,13
6,Honda,BAR,2.0,16,7,,,,3,Australian,9
7,Red Bull,COU,1.0,11,8,,,,3,Australian,3
8,Toro Rosso,SPE,0.0,18,9,,,,3,Australian,9
9,Honda,BUT,0.0,1,10,,,,3,Australian,-9
10,MF1,ALB,0.0,17,11,,,,3,Australian,6
11,Super Aguri,SAT,0.0,21,12,,,,3,Australian,9
12,Super Aguri,IDE,0.0,22,13,,,,3,Australian,9
13,McLaren,MON,0.0,5,14,,,,3,Australian,-9
14,MF1,TMO,0.0,20,15,,,,3,Australian,5
15,Toro Rosso,LIU,0.0,12,16,,,,3,Australian,-4
16,Ferrari,MSC,0.0,10,17,,,,3,Australian,-7
17,Williams,WEB,0.0,7,18,,,,3,Australian,-11
18,Red Bull,KLI,0.0,13,19,,,,3,Australian,-6
19,Toyota,TRU,0.0,9,20,,,,3,Australian,-11
20,Williams,ROS,0.0,14,21,,,,3,Australian,-7
21,Ferrari,MAS,0.0,15,22,,,,3,Australian,-7
0,Ferrari,MSC,10.0,1,1,,,,4,San Marino,0
1,Renault,ALO,8.0,5,2,,,,4,San Marino,3
2,McLaren,MON,6.0,7,3,,,,4,San Marino,4
3,Ferrari,MAS,5.0,4,4,,,,4,San Marino,0
4,McLaren,RAI,4.0,8,5,,,,4,San Marino,3
5,Williams,WEB,3.0,10,6,,,,4,San Marino,4
6,Honda,BUT,2.0,2,7,,,,4,San Marino,-5
7,Renault,FIS,1.0,11,8,,,,4,San Marino,3
8,Toyota,SCH,0.0,6,9,,,,4,San Marino,-3
9,Honda,BAR,0.0,3,10,,,,4,San Marino,-7
10,Williams,ROS,0.0,13,11,,,,4,San Marino,2
11,BMW Sauber,VIL,0.0,12,12,,,,4,San Marino,0
12,BMW Sauber,HEI,0.0,15,13,,,,4,San Marino,2
13,Toro Rosso,LIU,0.0,16,14,,,,4,San Marino,2
14,Toro Rosso,SPE,0.0,18,15,,,,4,San Marino,3
15,MF1,TMO,0.0,19,16,,,,4,San Marino,3
16,Red Bull,COU,0.0,14,17,,,,4,San Marino,-3
17,Super Aguri,SAT,0.0,21,18,,,,4,San Marino,3
18,Red Bull,KLI,0.0,17,19,,,,4,San Marino,-2
19,Super Aguri,IDE,0.0,22,20,,,,4,San Marino,2
20,Toyota,TRU,0.0,9,21,,,,4,San Marino,-12
21,MF1,ALB,0.0,20,22,,,,4,San Marino,-2
0,Ferrari,MSC,10.0,2,1,,,,5,European,1
1,Renault,ALO,8.0,1,2,,,,5,European,-1
2,Ferrari,MAS,6.0,3,3,,,,5,European,0
3,McLaren,RAI,5.0,5,4,,,,5,European,1
4,Honda,BAR,4.0,4,5,,,,5,European,-1
5,Renault,FIS,3.0,11,6,,,,5,European,5
6,Williams,ROS,2.0,22,7,,,,5,European,15
7,BMW Sauber,VIL,1.0,9,8,,,,5,European,1
8,Toyota,TRU,0.0,7,9,,,,5,European,-2
9,BMW Sauber,HEI,0.0,13,10,,,,5,European,3
10,Toro Rosso,SPE,0.0,17,11,,,,5,European,6
11,MF1,TMO,0.0,18,12,,,,5,European,6
12,MF1,ALB,0.0,16,13,,,,5,European,3
13,Toyota,SCH,0.0,10,14,,,,5,European,-4
14,McLaren,MON,0.0,8,15,,,,5,European,-7
15,Super Aguri,SAT,0.0,20,16,,,,5,European,4
16,Super Aguri,FMO,0.0,21,17,,,,5,European,4
17,Honda,BUT,0.0,6,18,,,,5,European,-12
18,Red Bull,KLI,0.0,15,19,,,,5,European,-4
19,Williams,WEB,0.0,19,20,,,,5,European,-1
20,Red Bull,COU,0.0,12,21,,,,5,European,-9
21,Toro Rosso,LIU,0.0,14,22,,,,5,European,-8
0,Renault,ALO,10.0,1,1,,,,6,Spanish,0
1,Ferrari,MSC,8.0,3,2,,,,6,Spanish,1
2,Renault,FIS,6.0,2,3,,,,6,Spanish,-1
